method,k,MSE,bits_per_window,time_s,K,s,n_components,prep,value_bits,amin,amax
dct,4.0,0.1624404453402091,84.0,0.0383970737457275,,,,,,,
dct,8.0,0.0867431361657702,168.0,0.0342237949371337,,,,,,,
dct,16.0,0.023174351930127,336.0,0.0342607498168945,,,,,,,
dct,32.0,6.160781986708534e-15,672.0,0.0347561836242675,,,,,,,
ksvd,,0.1201396659580707,80.576,1.741147518157959,48.0,4.0,,,,,
pca,,0.177102044224739,128.0,0.0372154712677001,,,8.0,,,,
gzip,,0.0,264.04336043360433,0.0014224052429199,,,,raw,16.0,-4.051746845245361,3.1478657722473145
brotli,,0.0,258.83468834688347,0.0026443004608154,,,,raw,16.0,-4.051746845245361,3.1478657722473145
gzip,,0.9691033363342284,251.33333333333331,0.0022163391113281,,,,delta,16.0,-3.5920217037200928,5.304315567016602
brotli,,0.9691033363342284,249.9891598915989,0.0021686553955078,,,,delta,16.0,-3.5920217037200928,5.304315567016602
